MITA Inventory Number,Software Support,Hardware Support,Make,Model,Asset Type,Serial Number,Organisation,Department,Domain,Notes,Written Off,Site,Section,Order Number,Date Commissioned,Date Warranty Expires,User Assigned,Asset SLA,Warranty Expired?
127425,IMU MEEP,IMU MEEP,Other,Other,Laptop,D9NXCV009900365,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,07/05/2015,01/01/2007,In Use by IMU not joined to MITA,No Desktop SLA,Yes
307530,DSK-4sight-GOV1/GOZ,IMU MEEP,HP,Elitebook G10,Laptop,5CG3310PRD,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,22/09/2023,22/09/2026,store,Gov Workstation,No
156226,IMU MEEP,IMU MEEP,HP,ProBook 450 G3,Laptop,5CD7075GD6,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,6201,17/03/2017,31/03/2020,store,No Desktop SLA,Yes
161463,IMU MEEC,IMU MEEC,HP,ProBook 450 G4 HE,Laptop,5CD7188F8G,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,6310,14/06/2017,30/06/2020,store,No Desktop SLA,Yes
184683,IMU MEEP,IMU MEEP,HP,ProBook 450 G4,Laptop,5CD7385KH5,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,6427,25/10/2017,31/12/2020,store,No Desktop SLA,Yes
185947,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,Probook 450 G5,Laptop,5CD806BYLB,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,6639,28/03/2018,31/03/2021,manga049 - Anton Mangion,Gov Workstation,Yes
219848,IMU MEEP,IMU MEEP,DELL,Latitude 7310,Laptop,9BN3573,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,15/12/2020,01/01/2007,store,No Desktop SLA,Yes
192472,IMU MEEC,IMU MEEC,Asus,Zenbook,Laptop,HCN0CV00B66848E,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,12/07/2018,31/12/2021,store - disjoined,No Desktop SLA,Yes
190528,IMU MEEC,IMU MEEC,DELL,Precision 5530,Laptop,14HV6S2,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,31/12/2018,20/12/2020,store,No Desktop SLA,Yes
190529,IMU MEEP,IMU MEEP,DELL,Precision 5530,Laptop,BMBY6S2,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,02/01/2019,20/12/2020,store,No Desktop SLA,Yes
190527,DSK-4sight-GOV1/GOZ,IMU MEEC,DELL,Precision 5530,Laptop,J3HV6S2,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,02/01/2019,20/12/2020,attar115 - Ruben Attard,Gov Workstation,Yes
190530,DSK-4sight-GOV1/GOZ,IMU MEEC,DELL,Precision 5530,Laptop,4PBY6S2,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,02/01/2019,12/12/2020,ellum001-Marc Ellul,Gov Workstation,Yes
190525,IMU MEEP,IMU MEEP,HP,Spectre X360,Laptop,5CD84816QR,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,22/01/2019,22/01/2021,store,No Desktop SLA,Yes
190616,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,EliteBook 430 G5,Laptop,5CD8517GJV,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7025,21/02/2019,31/03/2022,store,Gov Workstation,Yes
200921,IMU MEEC,IMU MEEC,HP,Elitebook 840 G5,Laptop,5CG8231L0M,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,11/02/1919,08/02/2019,08/02/2021,store,No Desktop SLA,Yes
315369,DSK-4sight-GOV1/GOZ,DSK-4sight-GOV1/GOZ,HP,ProBook 455 G9,Laptop,5CD248BXPV,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,8617,14/03/2023,14/03/2026,manga049 - Anton Mangion,Gov Workstation,Yes
201285,IMU MEEC,IMU MEEC,HP,Probook 450 G5,Laptop,5CD9103R07,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,7033,02/04/2019,02/04/2022,store,No Desktop SLA,Yes
201323,IMU MEEP,IMU MEEP,HP,Probook 450 G5,Laptop,5CD91123W0,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,7035,05/04/2019,05/04/2022,store,No Desktop SLA,Yes
201325,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,Probook 450 G5,Laptop,5CD91123VT,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7035,05/04/2019,05/04/2022,store,Gov Workstation,Yes
201347,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,Probook 450 G5,Laptop,5CD91123VG,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7035,05/04/2019,05/04/2022,store,Gov Workstation,Yes
201403,IMU MEEP,IMU MEEP,HP,Probook 450 G5,Laptop,5CD91123TP,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,7037,02/04/2019,02/04/2022,store,No Desktop SLA,Yes
197428,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,ProBook 450 G6 HE,Laptop,5CD9247HMR,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7189,31/07/2019,31/07/2022,store,Gov Workstation,Yes
197425,DSK-4sight-GOV1/GOZ,IMU MEEC,HP,ProBook 450 G6 HE,Laptop,5CD9247HN7,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,Corp,,No,Barriera Wharf - MEEC,Information Management Unit,7189,31/07/2019,31/07/2022,store,Gov Workstation,Yes
220111,IMU MEEC,IMU MEEC,DELL,Latitude 7310,Laptop,3KLDGB3,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,N/A,29/04/2021,26/04/2024,store,No Desktop SLA,Yes
184361,IMU MEEC,IMU MEEC,HP,ProBook 455R G7,Laptop,5CD0265NY2,"Ministry for the Environment, Energy and Public Cleanliness",Information Management Unit,No MITA Domain,,No,Barriera Wharf - MEEC,Information Management Unit,7626,30/08/2020,30/08/2023,store,No Desktop SLA,Yes
